GENE	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
1503_tnpA_KF719970.1	1	9	3	7	26	6	12	2	0
1293_tnpA_ISSod1_AE014300.1	0	0	0	0	0	0	0	0	0
1125_tnpA_CXPB01000073.1	0	0	0	0	1	0	0	0	0
2634_Tn916-orf16_KC414929	3	2	1	1	2	3	45	10	54
445_tnpA_AE008924.1	0	0	0	0	0	0	0	0	0
1370_tnpA_AE014299.2	0	0	0	0	0	0	0	0	0
1785_tnpA_AE014299.2	0	0	0	0	0	0	0	0	0
1987_tnpA_AE014299.2	0	0	0	0	0	0	0	0	0
660_tnpA_CP000355.2	4	21	18	449	9	17	57	208	94
2034_tnpA1_ADFW01000001.1	0	0	0	0	0	0	0	0	0
1203_tnpA_LC075716.1	8	16	4	23	248	10	32	19	10
1692_tnpA_AP010806.1	0	0	0	0	0	0	1	2	0
1744_ISCR1_HG003695.1	3	14	17	2	250	3	139	15	11
2773_tnpA_JX194160.1	1	20	0	1	2	2	30	1	1
1652_tnpA_ANGG01000530.1	0	0	0	0	0	0	0	0	0
1873_tnpA1_CP000831.1	0	0	0	0	0	0	0	0	2
1342_tnpA_CP001590.1	0	0	0	0	0	0	0	0	0
1638_tnpA_FJ948173.1	2	5	5	1	1	1	13	5	2
1930_tniA_FJ948173.1	0	0	1	15	3	2	25	26	11
1216_tnpA_CP002879.1	0	0	0	0	0	0	0	0	0
729_tnpA_LC155908.1	1	16	16	22	201	3	143	12	4
451_tnpA_KU254577.1	1	2	4	9	2	0	6	19	0
2646_Tn916-orf15_KC414929	1	2	2	1	2	0	31	6	43
1033_tnpA_LC198842.1	0	1	0	0	2	0	3	1	0
2536_tnpA_AY850399.1	0	0	0	0	0	0	0	0	0
2498_tnpA_AE014299.2	0	0	0	0	0	0	0	0	0
343_tnpA_KJ933392.1	0	1	0	2	36	0	60	1	2
1952_tnpA_GQ160960.2	0	0	0	0	3	0	0	0	0
1763_tnpA_DQ839391.1	7	10	7	18	191	8	36	19	11
1585_tnpA1000_KX709966.1	0	0	0	0	5	0	0	0	0
1980_tnpA_AE014299.2	0	0	0	0	0	0	0	0	0
831_tnpA_KF705206.1	0	2	0	6	124	1	512	3	4
1695_tnpA_AE014299.2	0	0	0	0	0	0	0	0	0
1110_tnpA_GU371928.1	0	4	6	9	122	1	65	14	2
553_tnpA_KP826703.1	0	0	0	2	24	0	58	49	13
1290_tnpA_ISSod8_AE014300.1	0	0	0	0	0	0	0	0	0
1361_tnpA_CP001856.1	1	3	2	7	40	8	9	2	2
2753_tnpA_KT282968.1	0	0	0	3	26	1	42	0	1
1013_tniA_LIHO01000010.1	0	0	0	0	0	0	0	0	0
2777_tnpA_CP000354.2	0	0	0	0	0	0	0	0	0
1789_tniA_GQ406245.5	0	0	1	0	0	0	0	3	14
440_tniA_JX844629.1	0	0	1	0	0	0	0	3	11
596_tniAb_JN968483.3	0	0	2	0	0	0	0	0	1
2806_tniA_FP929140.1	0	0	0	0	0	0	0	0	0
2805_tniA_KU549175.1	0	0	0	0	0	0	0	0	0
1498_tnpA_2_HE983995.1	0	0	0	0	0	0	0	0	0
1928_tniA_CP000644.1	0	0	0	0	0	0	1	0	0
1408_tnpA3_CP001894.1	0	0	0	0	0	0	0	0	0
901_tniA_CT025833.1	0	0	0	0	0	0	0	0	0
1684_tnpA_LN794248.1	0	0	0	1	9	0	1	2	0
2434_tniA_CP002194.1	0	0	0	0	0	0	0	0	0
1489_tniA_KX710093.1	6	20	6	18	30	13	48	7	6
2489_tnpA_EF682134.1	0	1	0	2	16	0	48	1	0
401_tnpA_KX243414.1	0	0	0	0	0	0	0	0	0
2033_tnpA_AJ421424.1	0	0	0	0	3	0	0	0	0
2364_tnpA_CP000864.1	7	7	13	15	79	4	956	687	452
856_tnpA_U05888.2	0	0	0	0	0	0	0	0	0
634_tnpA_AF148496.1	0	1	0	0	0	3	7	1	0
1463_tniA_AB270530.1	0	0	0	0	0	0	0	0	0
569_tniA_CP000353.2	1	2	3	0	4	0	14	7	6
838_tniA_EF107516.1	1	9	18	4	51	8	6	10	3
1354_tniA_AEEU01000268.1	0	2	0	0	5	0	2	4	2
682_tniA_CTRJ01000005.1	1	16	1	0	11	3	19	11	4
1349_tnpA_AE014299.2	0	0	0	0	0	0	0	0	0
964_tnpA_FMSH01000107.1	0	0	0	0	0	0	0	0	0
1957_tnpA_FJ829469.1	0	0	0	0	2	0	2	0	0
2807_tniA_FN806773.1	0	0	0	0	0	0	2	5	4
1057_int3_HE577054.1	0	0	0	0	0	0	0	0	0
2261_tniA_AB063332.1	0	1	0	1	1	0	7	8	4
346_tniA_Y17897.1	1	5	1	0	16	0	40	8	10
1312_tniA_AJ304453.1	0	7	1	4	18	0	43	4	5
2635_tniA_JX194160.1	0	0	0	0	0	0	2	1	2
389_tniA_LK391695.1	0	0	2	2	0	0	23	11	3
501_tniA_GQ983559.1	0	1	1	3	1	0	4	5	2
1491_tniA_AM993098.1	8	12	1	7	22	14	19	2	1
1926_tniA_JNFD01000038.1	0	0	0	0	0	0	0	0	0
2046_ISBf10_NC006347	0	0	0	0	0	0	0	0	3
1148_tniA_JFYY01000019.1	0	0	0	0	0	0	0	0	0
2435_tniA_AGFM01000122.1	0	0	0	0	0	0	0	0	0
1095_tniA_AM236084.1	0	0	0	0	0	0	0	0	1
699_tnpA_CYAM01000068.1	1	1	0	2	90	0	345	1	0
1753_IS91_CP000272.1	0	0	0	0	0	0	0	0	0
1580_tniA_FMJB01000001.1	0	0	0	0	0	0	0	0	1
1166_tniA_CP002879.1	0	0	0	0	0	0	0	0	0
1929_tniA_AY305378.1	0	0	0	0	0	0	0	0	0
2052_tnpA_CU459003.1	0	0	0	0	0	0	0	0	0
386_tnpA_JX077110.1	0	0	6	0	0	0	3	0	1
594_tnpA_DQ875599.1	0	2	7	23	1	0	47	176	36
1582_tnpA_EF628292.1	0	0	4	51	2	0	75	212	54
1218_tnpA_AB985521.1	1	5	2	5	74	1	129	4	2
129_repUS7__rep(pHTbeta)_AB183714	0	0	0	0	0	0	7	0	0
1557_tnpA_AJ829923.1	0	0	0	0	0	0	0	0	0
528_tnpA_KT282968.1	2	8	11	5	145	7	17	14	2
1050_ISSfl3_AL391753	0	0	0	0	3	0	0	1	0
1133_tnpA_KR822246.1	0	0	0	0	63	0	42	0	0
1004_tnpA_KT779035.1	2	8	11	9	21	2	919	915	545
360_tniA_LC155906.1	12	16	8	19	42	21	31	2	4
127_repUS5__CDS20(pETB)_NC003265	0	0	0	0	0	0	0	0	0
2257_tnpA-IS683_KP347127.1	0	0	1	0	0	0	3	4	1
1564_IS679_NC002142	0	0	0	0	22	0	23	3	0
2367_ISBthe5_NC004663	0	0	0	0	0	0	0	0	0
1522_tnpA_AY327575.2	0	1	9	58	2	0	56	143	56
514_IS91_MRWY01000004.1	0	0	10	72	0	0	75	223	54
1056_IS91_CP019240.1	0	0	0	0	0	0	0	0	0
10_rep3_2_rep165(pBMB165)_DQ242517	0	0	0	0	0	0	0	0	0
11_rep3_3_rep(pBT9727)_CP000047	0	0	0	0	0	0	0	0	0
2475_tnpA_APFX01000025.1	0	0	0	0	0	0	0	0	0
823_tnpA_ADOU02000001.1	0	0	0	0	0	0	0	0	0
1445_tnpA_CP000355.2	0	0	0	0	0	0	0	0	0
2041_tnpA_AE007872.2	0	0	0	0	0	0	0	0	0
1082_tnpA_CP015834.1	0	0	0	0	0	0	0	0	0
2687_IS91_CP019238.1	2	0	2	29	2	1	47	143	40
517_tnpA_U66917.2	0	3	16	59	3	5	89	245	80
1706_tnpA_AF086815.2	1	5	82	10	1	8	3	5	3
1138_tnpA_KJ588779.1	6	33	8	238	29	3	8	11	3
1825_tnpA1353_KJ541071.1	0	7	0	0	4	6	0	1	0
2212_tnpA_AJ245804.1	0	0	0	0	0	0	0	0	0
9_rep3_1_rep63A(pAW63)_BTH011655	0	0	0	0	0	0	0	0	0
12_rep3_4_CDS38(pOX2)_NC002146	0	0	0	0	0	0	0	0	0
1654_tnpAB_CP000352.1	0	0	0	0	0	0	7	7	10
771_tnpA_ISKpn24_KR822247.1	0	0	0	3	128	1	93	1	0
2322_IS91_CP019242.1	0	0	0	0	0	0	0	0	0
824_ISCR-orf513__FJ012881.1	0	0	0	0	0	0	1	0	0
1556_tnpA_LC075717.1	0	3	0	15	0	1	4	19	3
1870_istA3_LK391695.1	1	3	4	6	0	2	0	17	4
2695_tnpA_EU503121.1	1	0	1	4	0	0	3	19	5
61_rep12_1_CDS32(pBMB67)_DQ363750	0	0	0	0	0	0	0	0	0
829_IS91_MOFD01000166.1	0	1	2	0	3	7	0	2	2
1136_tnpA_JX570731.1	1	0	3	3	0	0	2	8	2
1765_tnpA_CP012901.1	0	0	2	1	0	0	0	0	3
2382_tnp-ISCR5_AM849110.1	0	0	1	4	0	0	1	4	2
2573_tnpA_KU961660.2	0	1	4	3	0	1	1	10	3
485_ISCR21_JN872329.1	0	0	4	13	1	2	7	10	1
565_tnp-ISCR5b_AM849110.1	0	0	3	0	0	1	1	9	1
719_IS91_MIVX01000023.1	0	0	2	2	0	0	6	2	1
2042_tnpA_CAGT01000190.1	1	1	0	0	0	0	0	1	0
2670_tnpA_CP000352.1	0	0	0	0	0	0	0	1	1
2116_IS91_FN649418.1	0	0	1	1	30	0	123	2	1
1468_istA_CTRI01000001.1	3	1	0	0	0	1	0	0	1
1304_tnpA_CP006772.1	1	3	35	1	0	201	0	2	0
1847_IS91_CP018031.1	0	0	0	0	0	0	0	0	0
1958_istA_KU130294.1	1	0	1	8	6	4	15	37	14
1966_istA_AB270530.1	0	0	0	0	0	0	0	0	0
2339_istA15_LK391695.1	0	0	1	1	1	2	8	10	2
2485_istA17_LK391695.1	0	0	0	4	0	0	3	4	1
735_istA7_HG916826.1	0	0	1	0	0	0	4	3	1
820_istA1_HG916826.1	0	0	0	0	1	1	8	7	1
133_repUS11__CDS16(pTEF3)_AE016832	0	0	0	0	0	0	0	0	0
2421_IS91_MKEM01000335.1	1	0	5	14	1	1	5	22	2
62_rep12_2_CDS1(plasmid)_AY278324	0	0	0	0	0	0	0	0	0
1199_istA_KU254577.1	1	3	0	0	1	0	21	30	6
123_repUS1__ORF(E.faeciumContig1258)_JDOE	0	0	0	0	0	0	22	6	0
548_istA_KU254577.1	0	3	4	1	1	2	6	9	4
2636_istA_JX194160.1	8	62	9	0	3	3	1	3	5
1340_tniA_JX194160.1	0	1	1	1	1	0	14	9	3
1345_istA_AB270530.1	0	1	0	1	1	0	1	0	3
7_rep2_1_ORF(E.faeciumContig1183)_JDOE	0	0	0	0	0	0	11	7	0
8_rep2_2_repR(pEF1)_DQ198088	0	0	0	0	0	0	3	7	0
1_rep1_1_repE(pAMbeta1)_AF007787	0	0	0	0	0	0	4	1	0
2568_tnpA_JN106175.1	1	1	10	2	1	0	85	160	51
2786_tnpA_CP000352.1	0	0	0	0	0	0	0	0	0
2_rep1_2_repS(pBT233)_X64695	0	0	0	0	0	0	0	0	0
3_rep1_3_repR(pGB354)_U83488	0	0	1	0	0	0	3	7	0
4_rep1_4_repE(orf17)_NC011140	0	0	0	0	0	0	2	2	0
5_rep1_5_CDS6(pRE25)_X92945	0	0	0	0	0	0	0	1	0
6_rep1_6_repE(pTEF1)_AE016833	0	0	0	0	0	0	0	0	0
2122_IS91_CP018023.1	0	0	0	0	0	0	0	0	0
442_tnpA_AE014299.2	0	0	0	0	0	0	0	0	0
2597_IS91_MNXT01000023.1	0	0	0	0	0	0	0	0	0
1081_int3_CALN01000327.1	0	0	0	0	0	0	0	0	0
1531_tnpA_CP003565.1	0	0	0	0	0	0	0	5	1
1718_tnpA_CP011271.1	0	0	0	0	0	0	0	0	0
938_tnpA_BDLP01000034.1	0	0	0	0	0	0	0	0	0
1292_tnpA_AB238971.1	0	0	0	0	0	0	0	0	0
2433_tnpA1_CP002153.1	0	0	0	1	0	0	2	6	2
1333_tnpA_FJDF01000007.1	0	0	0	0	0	0	0	0	0
1642_tnpAIS50-A_KF056330.2	0	2	1	41	512	3	202	8	10
285_tniA_HQ662557.1	6	21	5	22	35	30	39	5	7
2706_tnpA_KX710093.1	33	4	9	0	6	31	27	0	4
2733_tnpA_AY823680.1	0	0	0	0	0	0	0	0	0
2236_tnpA_CAGD01000034.1	0	0	0	0	0	0	0	0	0
1722_IS91_KX957972.1	0	0	0	0	0	0	0	0	0
2411_tnpA_EF222275.1	0	0	0	0	0	0	0	0	0
2560_tnpA_JN630467.1	0	0	0	0	0	0	0	0	0
768_tnpA3_CP002879.1	0	0	0	0	0	0	0	0	0
1343_tnpA_5_FJNZ01000013.1	0	0	0	0	0	0	0	0	0
1497_tnpA_FJAO01000001.1	0	0	0	0	0	0	0	0	0
1528_tnpA_JN849689.1	0	0	0	0	84	1	35	5	7
579_tnpA_2_FJNY01000001.1	0	0	0	0	0	0	0	0	0
1548_tnpA_FCOK02000138.1	0	0	0	0	0	0	0	0	0
1519_tnpA_EU503121.1	0	1	4	12	0	2	1	5	2
1761_tnpA_HM370391.1	0	1	0	15	64	1	196	9	23
2001_tnpA_KU666837.1	0	0	0	0	4	0	0	0	0
530_tnpA_KT225462.1	0	0	0	2	161	0	459	3	1
2725_IS91_MNUL01000039.1	0	0	0	1	0	0	0	2	0
1236_tnpA_KX029332.1	0	0	0	0	0	0	1	0	0
1378_tnpA_CCWG01000122.1	4	1	0	0	0	9	6	24	13
1820_tnpA_AY437915.1	0	0	0	0	0	0	0	0	0
1127_tnpA_AP014809.1	0	0	0	0	0	0	0	0	0
1799_tnpA_JMTN01000004.1	0	0	0	0	0	0	0	0	0
730_tnpA_KX117210.1	0	0	0	3	43	0	26	0	0
759_tnpA_CP000352.1	0	0	0	1	2	0	7	2	0
1997_tnpA_CCKE01000172.1	0	0	0	0	0	0	0	0	0
1821_tnpA_FLQZ01000083.1	0	0	0	0	0	0	0	0	0
438_tnpA_DQ126685.1	0	0	0	0	0	0	0	0	0
1478_tnpA_JOQR01000001.1	0	0	0	0	0	0	0	0	0
2089_tnpA_CYEY01000102.1	0	0	0	0	0	0	0	0	0
2797_tnpA_U66917.2	0	0	3	1	1	1	9	13	4
391_tnpAcp2_KJ817377.1	1	2	5	4	10	5	26	13	3
850_tnpA_HQ219726.1	0	0	0	0	0	0	0	3	0
140_repUS18__rep(pKKS825)_FN377602.2	0	0	0	0	0	0	0	1	0
1085_tnpA_AM420293.1	0	0	0	0	0	0	0	0	0
2198_tnpA_KX710093.1	0	0	0	0	6	0	54	0	1
955_tnpA_JQ318854.1	0	3	3	4	33	22	8	2	12
2377_IS91_APJX01000011.1	0	0	0	0	0	0	0	0	0
2754_tnpA_CYGH01000010.1	0	0	0	0	0	0	0	0	0
779_tnpA_GU067641.1	6	4	4	41	18	9	33	77	22
2250_tniB_AGFM01000122.1	0	0	0	0	0	0	0	0	0
2774_tnpA_CDAH01000009.1	0	0	0	0	0	0	2	3	0
2064_IS91_CP019240.1	0	0	0	0	0	0	0	0	0
2722_ISCra1_DQ787200	0	0	0	0	0	0	0	0	0
2712_tnpA_FCNZ02000046.1	0	0	0	0	0	0	0	0	0
390_tnpA_FN806773.1	0	0	0	0	0	0	2	9	5
1374_tnpA_JEMZ01000267.1	0	0	0	0	0	0	0	0	0
1894_IS91_LM651928.1	0	0	0	0	0	0	0	0	0
993_tnpA_AF403298.1	0	0	0	0	0	0	0	1	0
313_tnpA_CT573071.1	0	0	0	0	0	0	0	0	0
