Taxa	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Hydrotalea	0	0	0	0	0	0	1	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Unclassified Chitinophagaceae	0	0	1	0	0	1	7	1	6
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Haliscomenobacter	0	0	0	0	0	0	0	2	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Lewinella	1	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Saprospira	1	0	1	0	0	0	0	1	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Unclassified Saprospiraceae	0	0	2	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter	4	0	1	0	0	2	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Nubsella	0	0	0	0	0	1	0	0	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	4	0	1	0	0	4	4	4	2
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea	0	0	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium	0	0	2	0	0	1	2	5	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Unclassified Sphingobacteriaceae	8	6	13	0	0	11	5	2	6
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Unclassified Sphingobacteriales;	0	2	0	0	0	2	0	1	2
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;WCHB1-69;bacterium sp. OF1	0	0	2	0	0	0	0	0	0
Bacteria;Bacteroidetes;Unclassified Bacteroidetes;;;	94	70	155	0	6	148	13	14	20
Bacteria;Candidate division TM7;Unclassified Candidate division TM7;;;	0	0	0	1	0	8	23	30	24
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydophila	0	0	1	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Unclassified Chlamydiaceae	0	2	0	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Family Incertae Sedis;Criblamydia	0	0	1	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus Protochlamydia	0	0	0	0	0	0	0	1	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Parachlamydia	3	1	0	0	1	0	2	1	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Unclassified Parachlamydiaceae	0	0	0	0	0	0	3	1	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Candidatus Rhabdochlamydia	0	0	0	0	0	0	0	0	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Unclassified Simkaniaceae	1	0	0	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Unclassified Chlamydiales;	0	2	6	0	1	6	3	1	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;cvE6;Chlamydiales	0	0	0	0	0	3	0	0	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium	0	0	1	0	0	0	0	0	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;OPB56;Chlorobi	0	0	0	0	0	0	0	0	1
Bacteria;Chlorobi;Chlorobia;Chlorobiales;OPB56;Unclassified OPB56	0	0	0	0	0	0	1	0	0
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium	1	0	0	0	0	0	0	0	0
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;IheB3-7;Melioribacter	1	1	0	0	0	0	0	0	0
Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;IheB3-7;Unclassified IheB3-7	0	0	1	0	0	0	0	0	0
Bacteria;Chlorobi;Unclassified Chlorobi;;;	0	0	1	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea	0	1	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Bellilinea	1	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea	3	1	1	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea	2	3	3	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Longilinea	1	0	3	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Unclassified Anaerolineaceae	36	20	38	0	0	1	0	0	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea	1	3	1	0	0	0	0	0	0
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae;Chloronema	0	0	0	0	0	1	0	0	0
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae;Roseiflexus	0	0	0	0	0	0	0	0	1
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae;Unclassified Chloroflexaceae	0	0	0	0	0	0	1	0	0
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis;Unclassified Family Incertae Sedis	0	1	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Unclassified Chloroflexi;;;	6	6	1	0	0	0	0	0	0
