clade_name	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Zoogloea;s__Zoogloea_sp_1C4	0.0	0.0	0.0	0.0	0.0	0.0	0.84852	4.22001	2.06157
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Tessaracoccus;s__Tessaracoccus_flavescens	0.0	0.0	0.0	0.0	0.0	0.0	0.61665	0.63315	0.55251
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_parasanguinis	0.0	0.0	0.0	0.0	0.0	0.0	0.24632	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Phnomibacter;s__Phnomibacter_ginsenosidimutans	0.0	0.0	0.0	0.0	0.0	0.0	0.04775	1.8201	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium_solisilvae	0.0	0.0	0.0	0.0	0.0	0.0	0.01267	1.50934	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis;t__SGB1836	0.0	0.0	0.0	0.0	0.0	0.0	22.8308	47.62039	7.52022
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Candidatus_Cibionibacter;s__Candidatus_Cibionibacter_quicibialis;t__SGB15286	0.0	0.0	0.0	0.0	0.0	0.0	22.33948	12.77685	12.01445
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Trichococcus;s__Trichococcus_flocculiformis;t__SGB7467	0.0	0.0	0.0	0.0	0.0	0.0	17.5227	2.04142	4.86521
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_eggerthii;t__SGB1829	0.0	0.0	0.0	0.0	0.0	0.0	6.86385	0.0	0.70958
k__Bacteria;p__Firmicutes;c__CFGB4806;o__OFGB4806;f__FGB4806;g__GGB51647;s__GGB51647_SGB4348;t__SGB4348	0.0	0.0	0.0	0.0	0.0	0.0	4.83813	0.0	4.13958
