GENE	BFH12_S130	BH09_S83	BFH35_S153	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	BFH15_S133	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	BFH6_S125	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH06_S81	BSE79_S120	BH34A_S98	BH20_S88	BFH17_S135	BH31_S95	BH11_S85	BFH36_S154	BH22_S89	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	BFH38B_S157	BH33_S97	BH32_S96	BFH13_S131	BFH4_S124	BFH10_S128	BFH39_S158	BFH19_S137	BH37_S102	FH8_S169	BH04_S79	BH25_S91	BH01_S76	BFH23_S141	BH58_S113	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	FH7_S168	BFH16_S134	FH4_S165	BH02_S77	BH29_S93	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	BH24_S90	BH34B_S99	BFH38A_S156	BH49_S110	BFH30_S148
480_tnpA_JX077110.1	0	161	485	4	18	3	73	549	27	47	195	2	77	308	87	26	61	30	32	0	11	8	4	1	262	26	3	79	30	3	65	0	83	17	4	60	221	64	489	7	10	60	8	12	317	205	24	6	1	23	3	866	2611	4	333	0	82	12	6	6	2	0	3	14	4	3	43	124	410	4	12	3	2	9	4	153	531	82	180	668	17	25	10	28	47	30	9	347	62	12	5	48	65	227	38	787
773_IS91_CP001918.1	0	106	60	0	4	1	7	74	0	18	100	2	19	268	4	8	2	0	15	0	1	0	1	0	23	1	0	4	0	1	3	1	9	2	0	2	7	4	40	1	2	39	3	0	10	6	2	0	0	8	0	70	74	0	6	0	6	13	0	1	0	0	0	0	2	0	8	32	14	1	0	0	0	13	0	12	9	2	18	126	6	5	3	1	1	5	2	48	21	0	5	0	9	5	1	89
775_IS91_MOHT01000119.1	19	1	55	5	57	3	54	171	18	0	0	125	9	194	28	17	69	20	38	2	21	27	97	1	10	11	15	4	1	13	26	1	50	0	13	109	3	172	75	28	32	63	136	260	29	99	5	191	138	55	99	89	82	54	3	2	7	1	117	38	5	0	29	15	4	1	88	44	52	4	44	8	0	1	0	138	6	31	12	43	34	15	39	72	8	52	39	172	9	12	5	1	17	139	45	55
954_tnpA_KP987218.1	0	0	2	0	0	1	0	99	0	5	0	0	1	19	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	2	3	6	0	0	1	1	0	5	0	0	0	0	0	0	132	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	3	4	1	31	43	3	0	0	0	0	0	0	29	1	0	0	0	0	0	0	27
1895_IS91_CXEP01000256.1	0	0	20	0	0	0	2	6	0	0	8	0	0	3	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	1	1	3	0	0	0	0	0	1	0	1	1	0	1	0	10	7	0	0	0	1	0	0	0	0	0	0	0	0	0	5	2	1	0	1	0	0	0	0	2	0	0	0	6	0	0	1	0	0	1	0	9	2	0	1	0	1	0	0	3
2324_IS91_MNYJ01000177.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
462_IS91_CP002738.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
778_IS91_CP002738.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
782_IS91_CP007567.1	2	4	2757	20	53	34	1000	355	3	7	5	15	1426	3953	124	744	13	148	8	0	25	5	2	8	192	7	5	59	4	2	94	14	763	8	403	1	1211	549	324	5	266	1180	19	367	118	244	18	66	5	1	6	120	79	178	28	6	4	73	518	412	3	0	10	3	21	4	1564	129	227	13	7	426	0	80	14	207	40	6	270	6738	1080	8	530	20	341	6017	425	2545	32	28	3	1	75	284	686	430
909_IS91_CP000503.1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	1	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2
272_intI1_EF592570.1	165	86	407	44	168	84	222	149	118	9	93	205	113	281	73	120	134	180	44	4	141	58	70	3	143	6	3	76	0	14	112	1	110	0	228	62	5	104	125	46	325	88	52	659	73	109	29	106	124	36	77	119	315	211	14	2	0	163	142	400	3	0	246	56	20	0	207	92	147	27	202	148	0	38	0	141	25	33	40	409	160	35	510	47	106	277	203	282	29	33	64	3	97	126	143	118
560_IS91_LRLF01000202.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1094_tnpA_CCRM01000135.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172_IncFIC(FII)_1__AP001918	0	0	1	0	0	0	0	17	0	1	0	0	2	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	1	12	0	0	0	0	0	9	1	0	0	0	0	0	24	73	0	14	0	7	0	0	0	0	0	0	0	0	0	0	3	15	0	0	1	0	0	0	2	18	4	7	0	1	0	0	0	0	1	0	1	3	1	0	0	1	0	0	7
1532_Tn916-orf18_KC414929	2	1	31	0	2	1	64	97	0	31	2	0	3	45	8	16	15	1	0	0	3	0	6	1	46	10	0	14	15	1	13	1	4	5	4	11	16	2	300	7	4	1	5	18	300	136	6	4	2	3	2	1110	10	13	22	0	4	1	4	6	2	1	3	2	125	3	33	5	5	1	5	5	2	8	0	49	7	15	1318	8	37	18	6	8	5	1	12	7	17	12	25	18	13	143	9	186
2237_tnpA_ADNV01000324.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1208_IS91_CP000721.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1624_delta-tnpA_HF545433.1	0	0	11	0	1	0	4	12	0	2	1	0	10	6	0	0	0	1	0	0	0	0	0	0	10	2	0	1	0	1	1	0	29	1	0	2	0	2	14	0	0	2	0	1	11	2	2	0	0	0	0	15	51	1	16	0	2	0	0	3	0	0	1	2	0	0	1	0	3	0	0	0	0	0	0	58	17	1	17	1	0	1	0	0	1	1	2	12	0	3	1	0	4	1	1	150
591_tnpA03_KJ721803.1	0	10	68	1	2	0	3	21	0	2	21	0	2	157	1	4	0	0	5	0	1	2	0	0	120	1	0	2	1	0	0	0	16	0	1	3	2	2	38	0	0	26	0	1	6	3	1	0	0	3	1	27	149	1	8	0	0	1	1	0	0	0	0	0	0	0	8	14	4	2	2	1	0	2	0	1	15	0	7	59	1	3	2	0	1	3	0	76	1	1	0	0	0	1	3	59
1758_IS91_LRLG01000187.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1833_tnpA_JN849689.1	26	1	92	8	63	4	106	27	14	1	2	7	321	23	25	31	34	35	8	1	71	7	60	1	5	3	0	14	2	6	25	0	53	1	19	57	0	86	64	64	43	26	49	130	36	54	7	19	1129	139	15	51	93	35	8	1	1	11	14	46	2	0	1558	10	5	0	134	42	24	2	111	14	0	1	2	43	23	68	17	22	34	12	45	39	48	37	42	111	8	8	32	0	27	46	65	57
2107_IS91_CP000503.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2299_IS91_CP012903.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
