GENE	BFH12_S130	BH09_S83	BFH35_S153	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	BFH15_S133	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	BFH6_S125	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH06_S81	BSE79_S120	BH34A_S98	BH20_S88	BFH17_S135	BH31_S95	BH11_S85	BFH36_S154	BH22_S89	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	BFH38B_S157	BH33_S97	BH32_S96	BFH13_S131	BFH4_S124	BFH10_S128	BFH39_S158	BFH19_S137	BH37_S102	FH8_S169	BH04_S79	BH25_S91	BH01_S76	BFH23_S141	BH58_S113	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	FH7_S168	BFH16_S134	FH4_S165	BH02_S77	BH29_S93	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	BH24_S90	BH34B_S99	BFH38A_S156	BH49_S110	BFH30_S148
grmA_1_M55520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kgmB_1_S60108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgm_1_M87057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-VI_2_APPJ01000012	0	0	0	0	1	0	0	5	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6
aph(3')-IX_1_APPN01000061	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ant(6)-Ia_5_AB247327	0	0	0	0	9	1	7	2	4	1	1	0	3	1	24	3	3	3	7	0	1	0	0	0	10	7	0	12	0	0	6	1	0	0	1	11	0	0	16	4	0	0	0	10	21	13	1	3	0	1	3	39	1	0	2	0	1	0	0	1	1	0	3	0	21	0	6	0	2	0	2	2	0	3	0	10	0	5	134	0	1	6	3	14	1	1	5	1	47	4	7	0	13	13	9	18
aadA13_2_NC010643	20	0	7	2	169	105	25	14	9	0	0	51	7	1	18	44	13	7	95	7	19	0	4	0	3	6	0	23	0	0	50	1	1	0	6	23	2	37	17	19	8	7	16	18	14	8	10	35	36	7	54	24	7	13	2	1	0	442	14	8	4	0	4	31	6	0	34	4	15	5	6	10	1	2	0	14	6	14	6	14	43	7	5	12	70	8	37	4	3	5	81	0	16	21	22	10
aadA11_2_AJ567827	0	0	0	0	3	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	2	0	0	5	0	0	0	0	3	0	37	0	3	0	0	0	0	1	0	23	0	0	0	2	0	1	0	0	0	0	1	1	1	0	65	0	0	0	0	1	0	0
aadA10_2_AM087405	0	0	52	1	3	38	7	19	0	3	1	51	6	1	8	0	12	1	12	0	95	7	3	0	32	4	0	4	0	0	7	0	0	0	4	1	0	35	10	17	1	21	9	1	11	11	2	75	0	0	0	6	53	8	29	0	0	2	6	0	0	0	2	0	10	0	9	14	14	3	1	14	1	1	0	9	38	2	5	2	3	1	0	1	9	15	6	7	81	5	7	0	4	16	3	4
aadA7_2_AB114632	1	0	17	0	0	0	3	4	1	0	0	1	6	4	7	3	17	4	6	0	13	1	0	0	3	0	0	3	0	4	0	0	2	0	9	16	0	2	22	49	5	2	31	4	27	10	1	26	0	0	24	11	2	7	2	0	0	0	1	10	10	0	0	6	1	0	8	4	2	0	5	9	0	0	0	9	0	15	2	2	9	9	2	13	3	8	10	1	24	40	3	0	7	10	6	8
